"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 01, 2006","24.91","24.10","26.85","22.30","13.75M","4.44%"
"Jan 01, 2006","23.85","22.00","24.51","21.49","7.97M","8.46%"
"Dec 01, 2005","21.99","20.41","22.60","19.82","7.96M","7.74%"
"Nov 01, 2005","20.41","21.21","21.59","20.00","8.18M","-3.77%"
"Oct 01, 2005","21.21","21.97","22.27","19.14","9.02M","-3.46%"
"Sept 01, 2005","21.97","21.55","22.99","20.19","11.93M","2.19%"
"Aug 01, 2005","21.50","23.05","24.53","20.79","11.98M","-5.99%"
"Jul 01, 2005","22.87","19.63","23.48","19.60","8.83M","16.62%"
"Jun 01, 2005","19.61","18.95","21.50","18.87","12.74M","3.81%"
"May 01, 2005","18.89","17.92","19.70","17.43","12.05M","6.12%"
"Apr 01, 2005","17.80","18.35","19.22","16.33","9.26M","-2.47%"
"Mar 01, 2005","18.25","18.07","18.99","17.04","14.00M","0.83%"
"Feb 01, 2005","18.10","16.05","18.10","15.10","14.47M","12.14%"
"Jan 01, 2005","16.14","16.85","17.00","14.36","17.59M","-4.21%"
"Dec 01, 2004","16.85","18.60","18.70","15.57","15.01M","-9.31%"
"Nov 01, 2004","18.58","16.59","18.75","16.47","9.74M","11.93%"
"Oct 01, 2004","16.60","17.60","18.02","15.45","9.11M","-6.53%"
"Sept 01, 2004","17.76","15.60","18.00","15.34","12.21M","14.21%"
"Aug 01, 2004","15.55","13.90","15.72","13.83","9.76M","7.69%"
"Jul 01, 2004","14.44","14.50","14.85","13.68","8.19M","-0.76%"
"Jun 01, 2004","14.55","13.20","14.65","13.00","8.03M","10.56%"
"May 01, 2004","13.16","12.50","13.40","11.70","11.25M","5.79%"
"Apr 01, 2004","12.44","14.92","15.19","12.14","18.45M","-15.37%"
"Mar 01, 2004","14.70","14.87","15.00","13.15","13.30M","-0.88%"
"Feb 01, 2004","14.83","15.95","16.12","14.15","8.26M","-7.31%"
"Jan 01, 2004","16.00","16.51","16.96","15.35","5.44M","-2.79%"
"Dec 01, 2003","16.46","16.30","16.61","14.98","8.48M","0.67%"
"Nov 01, 2003","16.35","15.27","16.45","15.26","8.13M","6.38%"
"Oct 01, 2003","15.37","12.66","15.73","12.50","10.29M","22.37%"
"Sept 01, 2003","12.56","12.18","13.42","12.18","7.48M","3.37%"
"Aug 01, 2003","12.15","11.27","12.29","10.52","6.03M","8.48%"
"Jul 01, 2003","11.20","10.86","11.58","10.58","7.83M","2.19%"
"Jun 01, 2003","10.96","11.91","11.96","10.36","9.77M","-7.90%"
"May 01, 2003","11.90","11.40","12.33","11.08","9.73M","5.22%"
"Apr 01, 2003","11.31","10.70","11.37","10.58","3.80M","5.21%"
"Mar 01, 2003","10.75","10.70","11.15","10.10","7.09M","0.09%"
"Feb 01, 2003","10.74","10.90","10.90","9.40","5.72M","-0.92%"
"Jan 01, 2003","10.84","11.31","11.86","10.53","4.72M","-4.16%"
"Dec 01, 2002","11.31","10.90","11.44","10.75","4.09M","0.44%"
"Nov 01, 2002","11.26","9.85","11.41","9.85","4.65M","14.43%"
"Oct 01, 2002","9.84","9.24","10.80","9.15","6.92M","7.54%"
"Sept 01, 2002","9.15","9.39","9.46","8.65","6.30M","-1.51%"
"Aug 01, 2002","9.29","8.61","10.00","8.01","5.35M","8.02%"
"Jul 01, 2002","8.60","9.50","9.70","8.01","5.69M","-8.51%"
"Jun 01, 2002","9.40","10.05","10.24","9.16","5.46M","-7.39%"
"May 01, 2002","10.15","9.74","10.40","9.20","7.37M","4.10%"
"Apr 01, 2002","9.75","10.50","10.55","9.61","4.59M","-7.32%"
"Mar 01, 2002","10.52","9.97","10.55","9.26","15.96M","5.73%"
"Feb 01, 2002","9.95","9.62","10.16","8.80","5.20M","3.97%"
"Jan 01, 2002","9.57","10.67","10.80","9.35","3.50M","-9.72%"
