"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 01, 2003","3.43","3.36","3.47","3.05","106.79M","2.69%"
"Jan 01, 2003","3.34","3.53","3.69","3.24","50.78M","-5.38%"
"Dec 01, 2002","3.53","3.70","3.70","3.35","86.57M","-4.59%"
"Nov 01, 2002","3.70","3.74","3.78","3.58","66.11M","-1.60%"
"Oct 01, 2002","3.76","3.47","3.84","3.36","115.77M","8.67%"
"Sept 01, 2002","3.46","3.36","3.58","3.29","100.55M","2.67%"
"Aug 01, 2002","3.37","3.03","3.50","2.76","98.59M","10.86%"
"Jul 01, 2002","3.04","3.69","3.69","2.77","72.34M","-18.06%"
"Jun 01, 2002","3.71","3.71","3.80","3.37","64.15M","-0.27%"
"May 01, 2002","3.72","3.58","3.75","3.48","39.86M","4.49%"
"Apr 01, 2002","3.56","3.61","3.82","3.46","59.05M","-1.93%"
"Mar 01, 2002","3.63","3.42","3.68","3.32","46.20M","5.52%"
"Feb 01, 2002","3.44","3.45","3.47","3.16","33.08M","-0.29%"
"Jan 01, 2002","3.45","3.41","3.50","3.14","45.06M","1.17%"
